axis_ratio,removal,seed,eigengap,axis_drift_degrees
1.0,0.9,24,0.06524678695715672,14.599670785130249
1.0,0.01,25,0.0009658071101384037,41.70088349212699
1.0,0.1,25,0.010008452382111217,20.477534063291458
1.0,0.5,25,0.025566724221310507,13.107555090713486
1.0,0.9,25,0.11047537241313674,85.94866124320237
1.0,0.01,26,0.003101750546635364,69.83269213897981
1.0,0.1,26,0.01589161045965288,81.08736173182517
1.0,0.5,26,0.06697985437653435,52.51768207447384
1.0,0.9,26,0.2143343528663079,72.97645727370988
1.0,0.01,27,0.0044703913961444165,19.816621092186285
1.0,0.1,27,0.012061450326198164,53.746562082399365
1.0,0.5,27,0.026007668977704113,9.757151833649628
1.0,0.9,27,0.22604430110142687,12.843163306579717
1.0,0.01,28,0.00268756006914559,86.77425506466057
1.0,0.1,28,0.009542418306117132,79.3082857431493
1.0,0.5,28,0.029323350608546305,82.50763560036391
1.0,0.9,28,0.07878299835028088,26.25063231217294
1.0,0.01,29,0.0015918237815099156,87.65739361564462
1.0,0.1,29,0.013263751768155755,31.00195984860021
1.0,0.5,29,0.037201149420039166,14.914886627099593
1.0,0.9,29,0.11730644977431913,30.4257308204311
1.001,0.01,0,0.0028629683377846046,12.553628061320689
1.001,0.1,0,0.018440764123478406,14.09420618355101
1.001,0.5,0,0.054585561037891465,74.05664967686866
1.001,0.9,0,0.05183636266952566,21.33990742486503
1.001,0.01,1,0.00695450538234063,11.653513360821648
1.001,0.1,1,0.0034595993677697056,81.7517540231816
1.001,0.5,1,0.030126085063604986,2.100770017169794
1.001,0.9,1,0.1656609736213345,81.91258865522138
1.001,0.01,2,0.0017437707864036277,22.511416772317595
1.001,0.1,2,0.014261848695985577,87.43436919428444
1.001,0.5,2,0.019162536452251234,56.99602164986687
1.001,0.9,2,0.13958082911694503,15.562598221506406
1.001,0.01,3,0.009750432858674253,0.3737284505054794
1.001,0.1,3,0.005205173913893358,32.34777645505849
1.001,0.5,3,0.03882648331244002,19.55166264252897
1.001,0.9,3,0.016852962627825988,4.882984216028319
1.001,0.01,4,0.00841793504797109,32.43926485672924
1.001,0.1,4,0.009805461717450965,48.04099515778531
1.001,0.5,4,0.01529713633200034,3.79775816097141
1.001,0.9,4,0.1038185030913726,56.27927079438648
1.001,0.01,5,0.001249164288062106,70.18080645361758
1.001,0.1,5,0.0050234675366500735,55.71509349787492
1.001,0.5,5,0.05679099843427908,34.99255455356436
1.001,0.9,5,0.05409821629282965,20.584573623086918
1.001,0.01,6,0.0038947998806097284,65.70307842618263
1.001,0.1,6,0.011578709423680483,34.70196309276397
1.001,0.5,6,0.010064010172245307,4.689133417948822
1.001,0.9,6,0.1493942032595154,29.604134882479496
1.001,0.01,7,0.004116245937022816,54.750273048238405
1.001,0.1,7,0.017864462447266936,74.94743172493311
1.001,0.5,7,0.04169323062132228,23.319755890889304
1.001,0.9,7,0.04719317953939453,62.87918603665899
1.001,0.01,8,0.003728531095123385,37.91628703297115
1.001,0.1,8,0.0006303534941214142,15.526701539450094
1.001,0.5,8,0.0497462638111059,1.138119099685619
1.001,0.9,8,0.10864976262453313,87.1096766545147
1.001,0.01,9,0.005620042312863456,3.8075707044837386
1.001,0.1,9,0.023214399892452876,42.18685253883572
1.001,0.5,9,0.06163728303752325,44.74068944495001
1.001,0.9,9,0.12498681447825848,17.172560083995855
1.001,0.01,10,0.003668006112012593,22.023022223847338
1.001,0.1,10,0.009859493060546948,57.82612430504225
1.001,0.5,10,0.05042477595823766,87.86681059688651
1.001,0.9,10,0.08486837801094087,23.975722141140245
1.001,0.01,11,0.0055926281434556,6.285991004880053
1.001,0.1,11,0.0032281448628142684,40.81550756145529
1.001,0.5,11,0.0326381634605791,40.390479060594096
1.001,0.9,11,0.19368373945495357,89.81040296593002
1.001,0.01,12,0.0028070529555227924,85.84257612825395
1.001,0.1,12,0.006848608644378327,64.09161503500584
1.001,0.5,12,0.03113915064080986,6.775144754948981
1.001,0.9,12,0.10691412269518659,44.530099387562316
1.001,0.01,13,0.0070942201585327816,20.758022678564572
1.001,0.1,13,0.007420691337096434,7.424580538132126
1.001,0.5,13,0.02445947799493366,89.24988266830648
1.001,0.9,13,0.02655438983695814,57.473203347281746
1.001,0.01,14,0.004888373954765105,18.812573503790475
1.001,0.1,14,0.010092886077155841,58.181886857446436
1.001,0.5,14,0.052532338303245975,33.438306047706575
1.001,0.9,14,0.09497375571348772,68.36707672005362
1.001,0.01,15,0.0068410777917069605,17.193116376332082
1.001,0.1,15,0.00637194062281264,44.296951956605916
1.001,0.5,15,0.04762532710552883,1.248609836875048
1.001,0.9,15,0.22183806113027113,69.34430294474247
1.001,0.01,16,0.005274581742579186,29.577352263494298
1.001,0.1,16,0.018057369127343435,25.494001691182486
1.001,0.5,16,0.07082911421665539,66.08092792551209
1.001,0.9,16,0.16825608982086002,65.27591966138253
1.001,0.01,17,0.005474150930615847,38.999218913408995
1.001,0.1,17,0.009553889481293956,28.97936213217289
1.001,0.5,17,0.03328315980604967,7.929629935793226
1.001,0.9,17,0.05903016980080741,68.25061559464345
1.001,0.01,18,0.005356724598780593,62.10194254743183
1.001,0.1,18,0.013242427046073016,29.71561680048754
1.001,0.5,18,0.017516751593577115,88.3575177877509
1.001,0.9,18,0.247420364777073,50.426226003923965
1.001,0.01,19,0.0022965386911530127,72.89840374584797
1.001,0.1,19,0.02412460425025019,33.3453682201194
1.001,0.5,19,0.0281285187982956,21.218683525555228
1.001,0.9,19,0.020136690876405624,67.5280223501525
1.001,0.01,20,0.003381398040675623,0.0897165761734285
1.001,0.1,20,0.01010332720430441,22.425150863531115
1.001,0.5,20,0.0907500330844381,50.996657486082064
1.001,0.9,20,0.06478262880708853,77.1059557760855
1.001,0.01,21,0.00695242821172357,28.11523898667153
1.001,0.1,21,0.009334404961885256,53.05602835064988
1.001,0.5,21,0.02890127680976978,80.72621989459626
1.001,0.9,21,0.16418562614881554,14.306658264487547
1.001,0.01,22,0.0029065830920178316,46.537373847213104
1.001,0.1,22,0.010446115537733197,7.347746894943243
1.001,0.5,22,0.056001516008758884,57.520267756340566
1.001,0.9,22,0.1405366087796031,53.67165621572603
1.001,0.01,23,0.0006941331489724633,69.38664281446918
1.001,0.1,23,0.005044204623548206,67.13450936248708
1.001,0.5,23,0.029399268607859713,50.83557081536678
1.001,0.9,23,0.06230226443680511,85.04818595309577
1.001,0.01,24,0.008932828667696903,33.49345732458684
1.001,0.1,24,0.002472997874877335,24.63062094124134
1.001,0.5,24,0.038722734500758436,68.71804052465052
1.001,0.9,24,0.06362101111793518,74.97514851625373
