dataset,attack,attack_seed,sampling_seed,cap,nc,bit_accuracy,empty_bins
Railways,object_delete_90pct,1,0,3,0.911061242171035,0.892578125,6
Railways,object_delete_90pct,1,1,3,0.9285814546248886,0.9130859375,6
Railways,object_delete_90pct,1,2,3,0.9084568357743826,0.8896484375,6
Railways,object_delete_90pct,1,3,3,0.913886325556565,0.8955078125,6
Railways,object_delete_90pct,1,4,3,0.9111642406033945,0.8916015625,6
Railways,object_delete_90pct,1,5,3,0.911035874791187,0.8916015625,6
Railways,object_delete_90pct,1,6,3,0.9047013139674156,0.884765625,6
Railways,object_delete_90pct,1,7,3,0.9141225738435322,0.8955078125,6
Railways,object_delete_90pct,1,8,3,0.9116509704139395,0.892578125,6
Railways,object_delete_90pct,1,9,3,0.9212980706299599,0.904296875,6
Railways,object_delete_90pct,1,0,5,0.9410875750028462,0.927734375,6
Railways,object_delete_90pct,1,1,5,0.9380952380952381,0.923828125,6
Railways,object_delete_90pct,1,2,5,0.9376300046402304,0.923828125,6
Railways,object_delete_90pct,1,3,5,0.9422745696807693,0.9296875,6
Railways,object_delete_90pct,1,4,5,0.9426799397659643,0.9296875,6
Railways,object_delete_90pct,1,5,5,0.9426799397659643,0.9296875,6
Railways,object_delete_90pct,1,6,5,0.9467011846856633,0.9345703125,6
Railways,object_delete_90pct,1,7,5,0.9418401441555021,0.9287109375,6
Railways,object_delete_90pct,1,8,5,0.9410875750028462,0.927734375,6
Railways,object_delete_90pct,1,9,5,0.9441894362328417,0.931640625,6
Railways,object_delete_90pct,1,0,10,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,1,10,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,2,10,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,3,10,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,4,10,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,5,10,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,6,10,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,7,10,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,8,10,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,9,10,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,0,1000000,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,1,1000000,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,2,1000000,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,3,1000000,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,4,1000000,0.9526173336479747,0.94140625,6
