dataset,method,attack,nc,bit_accuracy,fitness,embed_seconds,mean_displacement_m,max_displacement_m
Boundary,single_candidate,rotate45,0.9068316893776485,0.8876953125,0.5480738240690958,1.5845706760883331,3.208368287896622e-07,0.0003316263715376685
Boundary,pso_10x40,no_attack,1.0,1.0,0.6860624302475631,4.980245850980282,5.235515066690754e-07,0.006791046538119072
Boundary,pso_10x40,delete50,0.8704278541370057,0.841796875,0.6860624302475631,4.980245850980282,5.235515066690754e-07,0.006791046538119072
Boundary,pso_10x40,remove90,0.8484338722302734,0.8115234375,0.6860624302475631,4.980245850980282,5.235515066690754e-07,0.006791046538119072
Boundary,pso_10x40,rotate45,0.9992072927806908,0.9990234375,0.6860624302475631,4.980245850980282,5.235515066690754e-07,0.006791046538119072
Road,single_candidate,no_attack,0.8596589630565906,0.828125,0.5556100242066572,1.1613855846226215,2.7088863297602984e-07,0.0001481111213397198
Road,single_candidate,delete50,0.7002193202794846,0.64453125,0.5556100242066572,1.1613855846226215,2.7088863297602984e-07,0.0001481111213397198
Road,single_candidate,remove90,0.708366080303293,0.64453125,0.5556100242066572,1.1613855846226215,2.7088863297602984e-07,0.0001481111213397198
Road,single_candidate,rotate45,0.846647796863869,0.8134765625,0.5556100242066572,1.1613855846226215,2.7088863297602984e-07,0.0001481111213397198
Road,pso_10x40,no_attack,0.9984126984126984,0.998046875,0.794581986901537,4.061040483415127,3.86095393275648e-07,0.0003726762515505115
Road,pso_10x40,delete50,0.9008726068244959,0.8779296875,0.794581986901537,4.061040483415127,3.86095393275648e-07,0.0003726762515505115
Road,pso_10x40,remove90,0.8878306908480674,0.8623046875,0.794581986901537,4.061040483415127,3.86095393275648e-07,0.0003726762515505115
Road,pso_10x40,rotate45,0.9984126984126984,0.998046875,0.794581986901537,4.061040483415127,3.86095393275648e-07,0.0003726762515505115
Lake,single_candidate,no_attack,0.8297216844473545,0.796875,0.5504708247600963,1.4112844206392765,1.0939131748913883e-07,4.036452418824653e-05
Lake,single_candidate,delete50,0.6764389633235095,0.6201171875,0.5504708247600963,1.4112844206392765,1.0939131748913883e-07,4.036452418824653e-05
Lake,single_candidate,remove90,0.7002579300672276,0.6337890625,0.5504708247600963,1.4112844206392765,1.0939131748913883e-07,4.036452418824653e-05
Lake,single_candidate,rotate45,0.8299544088013073,0.796875,0.5504708247600963,1.4112844206392765,1.0939131748913883e-07,4.036452418824653e-05
Lake,pso_10x40,no_attack,1.0,1.0,0.8141512766182324,5.532871663570404,1.652686886307115e-07,4.091996920154652e-05
Lake,pso_10x40,delete50,0.9187217029404622,0.9013671875,0.8141512766182324,5.532871663570404,1.652686886307115e-07,4.091996920154652e-05
Lake,pso_10x40,remove90,0.9105730346894201,0.888671875,0.8141512766182324,5.532871663570404,1.652686886307115e-07,4.091996920154652e-05
Lake,pso_10x40,rotate45,1.0,1.0,0.8141512766182324,5.532871663570404,1.652686886307115e-07,4.091996920154652e-05
