dataset,series,attack,seed,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,attack_seeds
Building,repeat,compound,8,0.899520977561244,0.8779296875,0.1220703125,24938,0,8,22.0,24.353515625,483,"[8, 10008, 20008, 30008]"
Building,repeat,vertex_delete_30pct,9,0.969631028689385,0.962890625,0.037109375,32016,0,11,28.0,31.265625,235,[9]
Building,repeat,vertex_delete_50pct,9,0.9173356584616116,0.8994140625,0.1005859375,26364,0,8,23.0,25.74609375,228,[9]
Building,repeat,object_delete_30pct,9,0.985643124931068,0.982421875,0.017578125,28647,0,9,26.0,27.9755859375,162,[9]
Building,repeat,object_delete_90pct,9,0.926974912315849,0.9111328125,0.0888671875,4004,37,0,3.0,3.91015625,25,[9]
Building,repeat,vertex_add_50pct,9,0.9373765709899942,0.923828125,0.076171875,59742,0,29,56.0,58.341796875,259,[9]
Building,repeat,noise_50pct_1p4tau,9,0.8671443441788924,0.8388671875,0.1611328125,42868,0,23,41.0,41.86328125,93,[9]
Building,repeat,compound,9,0.8894217852761106,0.8642578125,0.1357421875,25033,0,9,22.0,24.4462890625,489,"[9, 10009, 20009, 30009]"
Building,repeat,vertex_delete_30pct,10,0.9704487752301532,0.9638671875,0.0361328125,32019,0,11,28.0,31.2685546875,228,[10]
Building,repeat,vertex_delete_50pct,10,0.9162154149771208,0.8974609375,0.1025390625,26312,0,7,23.0,25.6953125,225,[10]
Building,repeat,object_delete_30pct,10,0.9840814236070372,0.98046875,0.01953125,29176,0,7,26.0,28.4921875,170,[10]
Building,repeat,object_delete_90pct,10,0.9285714285714286,0.912109375,0.087890625,4335,31,0,4.0,4.2333984375,27,[10]
Building,repeat,vertex_add_50pct,10,0.941840144155502,0.9287109375,0.0712890625,59644,0,29,56.0,58.24609375,259,[10]
Building,repeat,noise_50pct_1p4tau,10,0.8759539078396998,0.8505859375,0.1494140625,42845,0,23,42.0,41.8408203125,90,[10]
Building,repeat,compound,10,0.8796882564701136,0.8525390625,0.1474609375,24785,0,7,22.0,24.2041015625,473,"[10, 10010, 20010, 30010]"
