dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Boundary,legacy,rotation_90,1,1.0,0.0,1.0,0.0,0.0,0.0,120.939453125,0.217341415991541
Boundary,legacy,scale_0p5,1,1.0,0.0,1.0,0.0,0.0,0.0,120.9287109375,0.21630687499418855
Boundary,legacy,translation_10,1,1.0,0.0,1.0,0.0,0.0,0.0,120.9443359375,0.20470116700744256
Boundary,legacy,vertex_add_10pct,1,0.9936419552606822,0.0,0.9921875,0.0,0.0078125,0.0,133.08203125,0.22589195799082518
Boundary,legacy,vertex_add_30pct,1,0.9695060096188166,0.0,0.962890625,0.0,0.037109375,0.0,157.1181640625,0.2701863340334967
Boundary,legacy,vertex_add_50pct,1,0.9034765305583988,0.0,0.8828125,0.0,0.1171875,0.0,181.2607421875,0.297933624999132
Boundary,legacy,vertex_delete_30pct,1,0.9720152795189112,0.0,0.9658203125,0.0,0.0341796875,0.0,84.9296875,0.15479687496554106
Boundary,legacy,vertex_delete_50pct,1,0.8727036150462316,0.0,0.8466796875,0.0,0.1533203125,0.0,60.888671875,0.10791550000431016
Building,legacy,compound,1,0.8986572798468974,0.0,0.8759765625,0.0,0.1240234375,0.0,24.76171875,0.08932975004427135
Building,legacy,crop_half_x,1,0.9856431249310681,0.0,0.982421875,0.0,0.017578125,0.0,39.9951171875,0.1215325000230223
Building,legacy,no_attack,1,0.9864479554980152,0.0,0.9833984375,0.0,0.0166015625,0.0,40.1689453125,0.1327415420091711
Building,legacy,noise_10pct_0p6tau,1,0.9840623009386205,0.0,0.98046875,0.0,0.01953125,0.0,40.62109375,0.1267027499852702
Building,legacy,noise_50pct_1p4tau,1,0.8729242689879139,0.0,0.8447265625,0.0,0.1552734375,0.0,41.880859375,0.14001979201566428
Building,legacy,object_delete_30pct,1,0.9888585178963917,0.0,0.986328125,0.0,0.013671875,0.0,28.625,0.10140891699120402
Building,legacy,object_delete_90pct,1,0.9194744451420719,0.0,0.90234375,0.0,0.09765625,43.0,3.912109375,0.01803833298617974
Building,legacy,reverse_objects,1,0.9864479554980152,0.0,0.9833984375,0.0,0.0166015625,0.0,40.1689453125,0.13538887503091246
Building,legacy,reverse_vertices,1,0.9856737883701553,0.0,0.982421875,0.0,0.017578125,0.0,40.1689453125,0.12481708300765604
Building,legacy,rotation_135,1,0.9888585178963917,0.0,0.986328125,0.0,0.013671875,0.0,41.705078125,0.12237212498439476
Building,legacy,rotation_180,1,0.9968216095175163,0.0,0.99609375,0.0,0.00390625,0.0,37.4873046875,0.12332020897883922
Building,legacy,rotation_225,1,0.9888585178963917,0.0,0.986328125,0.0,0.013671875,0.0,41.62109375,0.12660183297703043
Building,legacy,rotation_270,1,0.9872521301150827,0.0,0.984375,0.0,0.015625,0.0,40.1689453125,0.1251296250266023
Building,legacy,rotation_315,1,0.9880556503830986,0.0,0.9853515625,0.0,0.0146484375,0.0,41.78125,0.12443600001279265
Building,legacy,rotation_45,1,0.9912429266746571,0.0,0.9892578125,0.0,0.0107421875,0.0,41.705078125,0.12260033399797976
