dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Landuse,legacy,noise_50pct_1p4tau,0,0.8704278541370057,0.841796875,0.158203125,0.11115199996856973,43662,0,24,42.0,42.638671875,112,39,embed_pca_key,0.04105204785514325,46588
Landuse,legacy,crop_half_x,0,0.9992060340153568,0.9990234375,0.0009765625,0.1026735000195913,42590,0,21,40.0,41.591796875,339,0,embed_pca_key,0.7799662740705751,43837
Landuse,legacy,translation_10,0,0.9968253968253968,0.99609375,0.00390625,0.10577145795105025,42691,0,21,39.0,41.6904296875,459,0,embed_pca_key,0.7793776250035505,43939
Landuse,legacy,scale_0p5,0,1.0,1.0,0.0,0.10099304100731388,41519,0,21,40.0,40.5458984375,337,0,pca_++,0.7793776250035502,43939
Landuse,legacy,rotation_45,0,0.9984126984126984,0.998046875,0.001953125,0.10082291695289314,43618,0,24,41.0,42.595703125,344,1,pca_++,0.779377625003551,43939
Landuse,legacy,rotation_90,0,0.9992060340153568,0.9990234375,0.0009765625,0.10202891699736938,42690,0,22,41.0,41.689453125,343,0,pca_++,0.7793776250035503,43939
Landuse,legacy,rotation_135,0,0.9976212494588167,0.9970703125,0.0029296875,0.10473474999889731,43618,0,22,41.0,42.595703125,340,0,pca_++,0.779377625003551,43939
Landuse,legacy,rotation_180,0,0.9992060340153568,0.9990234375,0.0009765625,0.10132645897101611,42691,0,21,40.0,41.6904296875,342,0,pca_++,0.7793776250035502,43939
Landuse,legacy,rotation_225,0,0.9984126984126984,0.998046875,0.001953125,0.09951191698201,43574,0,23,41.0,42.552734375,339,0,pca_++,0.7793776250035506,43939
Landuse,legacy,rotation_270,0,0.9992060340153568,0.9990234375,0.0009765625,0.1035349169978872,42692,0,21,40.0,41.69140625,341,0,pca_++,0.7793776250035505,43939
Landuse,legacy,rotation_315,0,0.9992060340153568,0.9990234375,0.0009765625,0.10326175001682714,43664,0,22,42.0,42.640625,340,0,pca_++,0.7793776250035506,43939
