dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Landuse,audited,noise_10pct_0p6tau_m,9,0.9992060340153568,0.9990234375,0.0009765625,0.12771249999059364,40431,0,19,39.0,39.4833984375,288,0,embed_pca_key,0.7793775385452868,43939
Landuse,audited,noise_50pct_1p4tau_m,9,0.866049520001254,0.837890625,0.162109375,0.13348699995549396,40431,0,20,39.0,39.4833984375,129,25,embed_pca_key,0.7793772394669235,43939
Landuse,audited,legacy_noise_50pct_1p4degrees,9,0.8475655413823614,0.814453125,0.185546875,0.1371429999708198,43076,0,26,41.0,42.06640625,115,48,embed_pca_key,0.03762087879805643,46584
Landuse,audited,compound_metric,9,0.8797512405536128,0.8515625,0.1484375,0.08898691594367847,22703,0,9,22.0,22.1708984375,92,51,embed_pca_key,0.7799864761371001,25215
Landuse,audited,vertex_delete_30pct,10,0.9936356121857463,0.9921875,0.0078125,0.11516262497752905,29285,0,12,28.0,28.5986328125,196,2,embed_pca_key,0.7797067932811624,32793
Landuse,audited,vertex_delete_50pct,10,0.9347181159503735,0.919921875,0.080078125,0.1012225840240717,21931,0,7,21.0,21.4169921875,129,46,embed_pca_key,0.7780681286375605,25439
Landuse,audited,object_delete_30pct,10,0.9992060340153568,0.9990234375,0.0009765625,0.09294904104899615,28097,0,14,27.0,27.4384765625,240,0,embed_pca_key,0.7754607319290798,30562
Landuse,audited,object_delete_90pct,10,0.9204329203216193,0.9013671875,0.0986328125,0.014766582986339927,3992,19,0,4.0,3.8984375,30,87,embed_pca_key,0.7853206629425405,4342
Landuse,audited,vertex_add_10pct,10,0.9984126984126984,0.998046875,0.001953125,0.1458817920065485,44456,0,23,42.0,43.4140625,317,1,embed_pca_key,0.7791827580135084,47964
Landuse,audited,vertex_add_30pct,10,0.9944403454588447,0.9931640625,0.0068359375,0.15307524998206645,52542,0,27,51.0,51.310546875,268,2,embed_pca_key,0.7799436295089708,56050
