dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Building,audited,compound_metric,10,0.8627252576361254,0.010603959857374631,0.8318359375,0.012555149068038174,0.1681640625,0.0,21.01357421875,0.13151820820057764
Building,audited,crop_half_centroids,1,1.0,0.0,1.0,0.0,0.0,0.0,20.69921875,0.09355550003238022
Building,audited,legacy_noise_50pct_1p4degrees,10,0.8543183714063944,0.008950247511513422,0.82353515625,0.009852585905682974,0.17646484375,0.0,40.880859375,0.1959391375014093
Building,audited,no_attack,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,36.20703125,0.17425675003323704
Building,audited,noise_10pct_0p6tau_m,10,0.998177712142474,0.0007512605304089096,0.99775390625,0.0009264485332524618,0.00224609375,0.0,36.20703125,0.18574437489151024
Building,audited,noise_50pct_1p4tau_m,10,0.8655560858833624,0.01028405204005091,0.83681640625,0.011731853929367184,0.16318359375,0.0,36.20703125,0.18890882070409135
Building,audited,object_delete_30pct,10,0.9988905228908976,0.0009302928912789566,0.9986328125,0.0011462771394309167,0.0013671875,0.0,25.32001953125,0.1419737498043105
Building,audited,object_delete_90pct,10,0.9105787027038726,0.009501936062028642,0.89091796875,0.01170110433643155,0.10908203125,47.9,3.616015625,0.022312579100253062
Building,audited,reverse_objects,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,36.20703125,0.18313691701041535
Building,audited,reverse_vertices,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,36.20703125,0.16509754199068993
Building,audited,rotation_135,1,0.9864975311979914,0.0,0.9833984375,0.0,0.0166015625,0.0,38.0556640625,0.17417333298362792
Building,audited,rotation_180,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,36.20703125,0.17848241602769122
Building,audited,rotation_225,1,0.9888888888888889,0.0,0.986328125,0.0,0.013671875,0.0,38.4599609375,0.1785945410374552
Building,audited,rotation_270,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,36.20703125,0.17888633301481605
Building,audited,rotation_315,1,0.9880860940501621,0.0,0.9853515625,0.0,0.0146484375,0.0,38.107421875,0.18951437500072643
Building,audited,rotation_45,1,0.9888888888888889,0.0,0.986328125,0.0,0.013671875,0.0,38.0556640625,0.18251666595460847
Building,audited,rotation_90,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,36.20703125,0.17843262501992285
Building,audited,scale_0p5,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,36.20703125,0.17173445801017806
Building,audited,translation_10,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,36.20703125,0.182950709015131
Building,audited,vertex_add_10pct,10,0.998415211361416,0.0007467835332648742,0.998046875,0.0009207119546699716,0.001953125,0.0,39.84599609375,0.20437632518587634
Building,audited,vertex_add_30pct,10,0.9902562417707405,0.002265153160033661,0.98798828125,0.002802127502168931,0.01201171875,0.0,47.0857421875,0.2284078458964359
Building,audited,vertex_add_50pct,10,0.9508536189288176,0.0032696693777462737,0.9396484375,0.003873561140792579,0.0603515625,0.0,54.28671875,0.21982242079102435
Building,audited,vertex_delete_30pct,10,0.9884688549933014,0.0025575772128303585,0.9857421875,0.0031627494274716473,0.0142578125,0.0,27.333984375,0.17968037919490598
Building,audited,vertex_delete_50pct,10,0.9231154415029661,0.004712966608582718,0.90498046875,0.006108179641601167,0.09501953125,0.0,21.81142578125,0.18784761659335344
Lake,audited,compound_metric,10,0.8535803823128265,0.00835618820784353,0.82255859375,0.010033753966916864,0.17744140625,0.0,33.248046875,0.0822146956983488
Lake,audited,crop_half_centroids,1,0.991251828670871,0.0,0.9892578125,0.0,0.0107421875,0.0,34.759765625,0.07704599999124184
Lake,audited,legacy_noise_50pct_1p4degrees,10,0.8423468896392869,0.005049857183128012,0.81103515625,0.005586263770094581,0.18896484375,0.0,64.01552734375,0.13442921660607682
Lake,audited,no_attack,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,62.904296875,0.131709375011269
Lake,audited,noise_10pct_0p6tau_m,10,0.9979346775714146,0.0008546238989568894,0.9974609375,0.0010497731443096941,0.0025390625,0.0,62.904296875,0.1355221164994873
Lake,audited,noise_50pct_1p4tau_m,10,0.8440656277533092,0.015220278706857134,0.8119140625,0.017723406192423383,0.1880859375,0.0,62.904296875,0.13169147489825264
Lake,audited,object_delete_30pct,10,0.9987294646577091,0.0005555678866268626,0.9984375,0.0006828182605274343,0.0015625,0.0,43.72861328125,0.10097451250185259
Lake,audited,object_delete_90pct,10,0.9000087674564311,0.01211454946209955,0.8759765625,0.014752954679198765,0.1240234375,3.4,6.46484375,0.014819012698717415
Lake,audited,reverse_objects,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,62.904296875,0.1329100420116447
Lake,audited,reverse_vertices,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,62.904296875,0.12561925000045449
Lake,audited,rotation_135,1,1.0,0.0,1.0,0.0,0.0,0.0,62.986328125,0.13168441597372293
Lake,audited,rotation_180,1,1.0,0.0,1.0,0.0,0.0,0.0,62.904296875,0.1295333750313148
Lake,audited,rotation_225,1,1.0,0.0,1.0,0.0,0.0,0.0,62.986328125,0.13152566697681323
Lake,audited,rotation_270,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,62.904296875,0.13135216699447483
Lake,audited,rotation_315,1,1.0,0.0,1.0,0.0,0.0,0.0,62.99609375,0.13520674995379522
Lake,audited,rotation_45,1,1.0,0.0,1.0,0.0,0.0,0.0,62.986328125,0.13164224999491125
Lake,audited,rotation_90,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,62.904296875,0.12856949999695644
Lake,audited,scale_0p5,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,62.904296875,0.12979529099538922
Lake,audited,translation_10,1,1.0,0.0,1.0,0.0,0.0,0.0,62.904296875,0.13162137503968552
Lake,audited,vertex_add_10pct,10,0.9984117511356605,0.0008370491702233674,0.998046875,0.0010293872591693996,0.001953125,0.0,69.21044921875,0.1459818789968267
Lake,audited,vertex_add_30pct,10,0.986322037219655,0.003147161625195737,0.983203125,0.003873561140792567,0.016796875,0.0,81.7677734375,0.16489211258594877
Lake,audited,vertex_add_50pct,10,0.9365289572862814,0.006202396181998686,0.92275390625,0.00740085771418416,0.07724609375,0.0,94.33154296875,0.18542451661196538
Lake,audited,vertex_delete_30pct,10,0.9847466736007207,0.0036148272871995672,0.98125,0.004482269395327736,0.01875,0.0,44.45771484375,0.10130457069608383
Lake,audited,vertex_delete_50pct,10,0.9163017160952742,0.0061498915291715184,0.8974609375,0.007336866972385835,0.1025390625,0.0,32.19208984375,0.08203141680569388
Landuse,audited,compound_metric,10,0.8804088344714096,0.005191472582361456,0.8529296875,0.0061968771011931215,0.1470703125,0.0,22.01728515625,0.08949315408244729
Landuse,audited,crop_half_centroids,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,20.7060546875,0.06499295798130333
Landuse,audited,legacy_noise_50pct_1p4degrees,10,0.8583062170259316,0.007451895755685609,0.8287109375,0.008773375274959902,0.1712890625,0.0,42.0638671875,0.13899168339557946
Landuse,audited,no_attack,1,1.0,0.0,1.0,0.0,0.0,0.0,39.4833984375,0.13559133402304724
Landuse,audited,noise_10pct_0p6tau_m,10,0.999127077286718,0.0005852448294605203,0.99892578125,0.0007205710814185711,0.00107421875,0.0,39.4833984375,0.13341345000080765
Landuse,audited,noise_50pct_1p4tau_m,10,0.8681629471542648,0.008957817423711397,0.83935546875,0.011306871375623964,0.16064453125,0.0,39.4833984375,0.1369472419086378
Landuse,audited,object_delete_30pct,10,0.999682539482676,0.00040983992664627914,0.999609375,0.0005042947065374013,0.000390625,0.0,27.58857421875,0.09478774181334301
Landuse,audited,object_delete_90pct,10,0.9127844899947808,0.009809785882170088,0.8923828125,0.011887528798232993,0.1076171875,27.9,3.784765625,0.014797208097297699
